45,1,29,0
52,2,14,0
37,3,6,0
29,4,12,0
90,5,23,0
36,6,16,0
72,7,3,0
23,8,29,0
92,9,8,0
84,10,13,0
58,11,29,0
42,12,30,0
46,13,19,0
5,14,12,0
26,15,29,0
23,16,1,0
28,17,29,0
45,18,22,0
92,19,19,0
58,20,22,0
74,21,1,0
25,22,24,0
99,23,23,0
83,24,5,0
67,25,3,0
18,26,9,0
57,27,8,0
59,28,15,0
98,29,6,0
9,30,29,0
8,31,10,0
36,32,17,0
30,33,24,0
70,34,14,0
23,35,14,0
29,36,8,0
38,37,28,0
81,38,4,0
46,39,1,0
60,40,22,0
68,41,5,0
67,42,14,0
84,43,8,0
82,44,4,0
98,45,12,0
96,46,5,0
17,47,2,0
18,48,22,0
17,49,30,0
88,50,29,0
45,51,19,0
6,52,8,0
57,53,11,0
7,54,29,0
15,55,4,0
29,56,29,0
86,57,24,0
34,58,18,0
97,59,7,0
77,60,7,0
76,61,22,0
47,62,11,0
88,63,26,0
99,64,9,0
41,65,22,0
70,66,15,0
70,67,15,0
86,68,10,0
63,69,23,0
5,70,21,0
44,71,22,0
100,72,21,0
66,73,3,0
26,74,19,0
75,75,20,0
70,76,30,0
14,77,1,0
88,78,20,0
63,79,27,0
40,80,15,0
36,81,28,0
18,82,2,0
56,83,23,0
91,84,30,0
60,85,23,0
35,86,7,0
39,87,1,0
35,88,20,0
95,89,29,0
50,90,26,0
20,91,11,0
56,92,28,0
64,93,18,0
22,94,20,0
18,95,13,0
86,96,18,0
12,97,3,0
77,98,29,0
88,99,3,0
18,100,28,0
